id,game_id,move_id,file_name,width,height,camera
,0,0,G000_IMG000.jpg,3072,3072,Huawei P40 pro
,0,1,G000_IMG001.jpg,3072,3072,Huawei P40 pro
,0,2,G000_IMG002.jpg,3072,3072,Huawei P40 pro
,0,3,G000_IMG003.jpg,3072,3072,Huawei P40 pro
,0,4,G000_IMG004.jpg,3072,3072,Huawei P40 pro
,0,5,G000_IMG005.jpg,3072,3072,Huawei P40 pro
,0,6,G000_IMG006.jpg,3072,3072,Huawei P40 pro
,0,7,G000_IMG007.jpg,3072,3072,Huawei P40 pro
,0,8,G000_IMG008.jpg,3072,3072,Huawei P40 pro
,0,9,G000_IMG009.jpg,3072,3072,Huawei P40 pro
,0,10,G000_IMG010.jpg,3072,3072,Huawei P40 pro
,0,11,G000_IMG011.jpg,3072,3072,Huawei P40 pro
,0,12,G000_IMG012.jpg,3072,3072,Huawei P40 pro
,0,13,G000_IMG013.jpg,3072,3072,Huawei P40 pro
,0,14,G000_IMG014.jpg,3072,3072,Huawei P40 pro
,0,15,G000_IMG015.jpg,3072,3072,Huawei P40 pro
,0,16,G000_IMG016.jpg,3072,3072,Huawei P40 pro
,0,17,G000_IMG017.jpg,3072,3072,Huawei P40 pro
,0,18,G000_IMG018.jpg,3072,3072,Huawei P40 pro
,0,19,G000_IMG019.jpg,3072,3072,Huawei P40 pro
,0,20,G000_IMG020.jpg,3072,3072,Huawei P40 pro
,0,21,G000_IMG021.jpg,3072,3072,Huawei P40 pro
,0,22,G000_IMG022.jpg,3072,3072,Huawei P40 pro
,0,23,G000_IMG023.jpg,3072,3072,Huawei P40 pro
,0,24,G000_IMG024.jpg,3072,3072,Huawei P40 pro
,0,25,G000_IMG025.jpg,3072,3072,Huawei P40 pro
,0,26,G000_IMG026.jpg,3072,3072,Huawei P40 pro
,0,27,G000_IMG027.jpg,3072,3072,Huawei P40 pro
,0,28,G000_IMG028.jpg,3072,3072,Huawei P40 pro
,0,29,G000_IMG029.jpg,3072,3072,Huawei P40 pro
,0,30,G000_IMG030.jpg,3072,3072,Huawei P40 pro
,0,31,G000_IMG031.jpg,3072,3072,Huawei P40 pro
